aoi,date,fid,area_ha,mean_dnbr,pre_bright,post_bright,delta,decision
36SVF,2025-08-13,4,13.0,0.31305444975216157,1173.3,1345.4,0.147,eliminate
36SVF,2025-08-13,5,3.7,0.1865649681273576,1139.6,1435.2,0.259,eliminate
36SVF,2025-08-13,6,4.3,0.23827796242512336,1212.5,1493.1,0.231,eliminate
36SVF,2025-08-13,7,3.2,0.23877540784032378,1665.4,1649.9,-0.009,keep
36SVF,2025-08-13,8,25.7,0.2732526303225557,1345.7,1211.3,-0.1,keep
36SVF,2025-08-13,9,11.3,0.2709936666684742,1565.9,1400.1,-0.106,keep
36SVF,2025-08-13,10,8.1,0.32603656815935106,1743.1,1582.4,-0.092,keep
36SVF,2025-08-13,11,3.2,0.21053386439065647,1460.5,1367.8,-0.063,keep
36SVF,2025-08-13,12,8.7,0.3870316127273351,1353.4,1323.7,-0.022,keep
36SVF,2025-08-13,13,4.6,0.3959092693662077,1162.4,1025.0,-0.118,keep
36SVF,2025-08-13,14,19.4,0.2951859680880544,1266.8,1226.1,-0.032,keep
36SVF,2025-08-13,15,4.3,0.47186966892035187,1296.3,1234.1,-0.048,keep
36SVG,2025-08-05,0,21.0,0.24310982903378275,2396.8,3764.5,0.571,eliminate
36SVG,2025-08-05,1,31.4,0.18512501042081245,3850.2,3670.0,-0.047,keep
36SVG,2025-08-08,0,20.2,0.4657318931366998,2335.8,2484.0,0.063,eliminate
36SVH,2025-08-08,0,39.1,0.18414449283201204,4128.4,3770.0,-0.087,keep
36SVH,2025-08-08,1,40.5,0.4132757891778077,2475.2,2732.2,0.104,eliminate
36SVH,2025-08-12,0,20.1,0.5033018975353819,2441.7,2868.1,0.175,eliminate
36SWE,2025-08-02,0,3.5,0.3309340942815449,2112.1,2598.5,0.23,eliminate
36SWE,2025-08-12,0,3.2,0.17806295938983982,2287.6,2413.1,0.055,eliminate
36SWE,2025-08-12,1,3.2,0.35921760468499736,2157.4,2801.2,0.298,eliminate
36SWE,2025-08-12,2,3.2,0.2563424831199424,2129.4,2323.3,0.091,eliminate
36SWF,2025-08-05,0,12.7,0.29622648030971954,1762.9,1845.2,0.047,keep
36SWF,2025-08-05,1,717.4,0.36282255371065625,1846.0,1824.1,-0.012,keep
36SWF,2025-08-05,2,25.9,0.6466710795970576,511.5,213.0,-0.584,keep
36SWF,2025-08-05,3,7.5,0.20632015982651367,2245.0,1992.9,-0.112,keep
36SWF,2025-08-05,4,21.8,0.7394077219696892,392.1,213.3,-0.456,keep
36SWF,2025-08-05,5,3.4,0.7024345632730492,369.2,206.2,-0.441,keep
36SWF,2025-08-12,0,7.2,0.2936980219762603,1860.1,1761.3,-0.053,keep
36SWF,2025-08-12,1,735.1,0.34642562020090173,1796.9,1753.0,-0.024,keep
36SWF,2025-08-12,2,9.8,0.5221510542325979,438.6,161.2,-0.632,keep
36SWF,2025-08-12,3,9.8,0.6495933280354155,435.4,146.9,-0.663,keep
36SWF,2025-08-12,4,6.4,1.028022132889342,848.9,114.8,-0.865,keep
36SWF,2025-08-12,5,4.3,0.19435788966649792,2123.4,1976.5,-0.069,keep
36SWF,2025-08-12,6,35.9,0.7927522994614792,383.3,117.8,-0.693,keep
36SWG,2025-07-26,0,31.8,0.2333741085098387,2473.8,4057.2,0.64,eliminate
36SWG,2025-07-26,1,47.7,0.24041855632194964,2397.1,2541.5,0.06,eliminate
36SWG,2025-08-05,0,20.2,0.4786360961693619,2540.3,2737.2,0.078,eliminate
36SWH,2025-08-12,0,34.8,0.2657217287013737,1840.9,1118.2,-0.393,keep
36SWH,2025-08-12,1,76.1,0.17870908124592413,3085.3,4193.5,0.359,eliminate
36SWH,2025-08-12,2,22.8,0.15750008928834425,3257.2,4064.0,0.248,eliminate
36SWH,2025-08-12,3,84.6,0.15840709542116535,3465.8,4356.3,0.257,eliminate
36SWH,2025-08-12,4,356.3,0.18342731656412734,3972.4,4881.4,0.229,eliminate
36SWH,2025-08-12,5,35.1,0.16089625851784628,4318.2,4893.6,0.133,eliminate
36SWH,2025-08-12,6,30.3,0.16115138323796124,4382.1,5118.5,0.168,eliminate
36SWH,2025-08-12,7,44.4,0.1671410003601907,4416.6,5141.3,0.164,eliminate
36SWH,2025-08-12,8,146.3,0.17569231486399176,4000.8,4836.1,0.209,eliminate
36SWH,2025-08-12,9,24.4,0.16502856066208996,3761.8,4761.8,0.266,eliminate
36SWH,2025-08-12,10,29.2,0.316551335714085,3383.5,3141.4,-0.072,keep
36SWH,2025-08-13,0,31.7,0.16094119184990888,3016.6,3992.0,0.323,eliminate
36SWH,2025-08-13,1,37.1,0.2739762670997227,1871.0,1169.4,-0.375,keep
36SWH,2025-08-13,2,69.1,0.17730720314703605,3094.9,4216.2,0.362,eliminate
36SWH,2025-08-13,3,74.5,0.16280634574789601,3484.1,4380.5,0.257,eliminate
36SWH,2025-08-13,4,261.9,0.17626976431895322,3968.2,4931.1,0.243,eliminate
36SWH,2025-08-13,5,22.4,0.17124224460282597,3472.2,5292.2,0.524,eliminate
36SWH,2025-08-13,6,34.5,0.17012277682301585,3546.7,5252.7,0.481,eliminate
36SWH,2025-08-13,7,40.2,0.16512416662187393,4310.2,4875.9,0.131,eliminate
36SWH,2025-08-13,8,124.4,0.16976955629299056,3978.0,4874.8,0.225,eliminate
36SWH,2025-08-13,9,36.8,0.16653711766077028,4385.7,5166.4,0.178,eliminate
36SWH,2025-08-13,10,25.8,0.16764874090514423,3754.0,4823.1,0.285,eliminate
36SWH,2025-08-13,11,39.5,0.3310170563501911,3381.2,3125.7,-0.076,keep
36SXE,2025-07-13,0,3.5,0.18082333670102316,1584.8,2166.9,0.367,eliminate
36SXF,2025-08-09,0,27.7,0.23402162195266146,1454.1,1767.3,0.215,eliminate
36SXF,2025-08-12,0,26.5,0.2472894185686379,1487.3,1849.1,0.243,eliminate
36SXG,2025-08-09,0,26.6,0.2022596306245426,2314.1,1815.8,-0.215,keep
36SXG,2025-08-09,1,59.1,0.24870057965967668,2080.1,1609.7,-0.226,keep
36SXG,2025-08-09,2,37.1,0.19808748737298368,2624.7,2115.0,-0.194,keep
36SXG,2025-08-09,3,24.2,0.18264388418122618,2350.0,2021.0,-0.14,keep
36SXG,2025-08-09,4,31.7,0.2253195948904099,2713.3,1985.2,-0.268,keep
36SXG,2025-08-12,0,52.3,0.22454014331915362,2111.3,1642.3,-0.222,keep
36SYE,2025-08-09,0,29.6,0.5967313075676229,1811.0,1804.5,-0.004,keep
36SYE,2025-08-09,1,29.6,0.4348898605182664,1568.4,1584.2,0.01,keep
36SYE,2025-08-12,0,23.7,0.4411508329126631,1425.2,1524.3,0.069,eliminate
36SYE,2025-08-12,1,128.5,0.5062284139723764,1634.7,1587.2,-0.029,keep
36SYE,2025-08-12,2,35.7,0.4994367708104071,2028.1,2132.0,0.051,eliminate
36SYE,2025-08-12,3,26.1,0.3237004362633188,1786.8,1835.2,0.027,keep
36SYE,2025-08-12,4,87.1,0.47371225323114524,1885.2,1808.9,-0.04,keep
36SYE,2025-08-12,5,39.6,0.38842149776892587,1575.1,1460.5,-0.073,keep
36SYF,2025-08-09,0,28.2,0.23245895856712911,1451.7,1752.9,0.207,eliminate
36SYF,2025-08-09,1,24.7,0.3054249545415924,1466.4,1402.4,-0.044,keep
36SYF,2025-08-12,0,35.5,0.24345300126671096,1458.8,1833.3,0.257,eliminate
36SYF,2025-08-12,1,24.1,0.40872887205857766,1444.0,1402.7,-0.029,keep
36SYF,2025-08-12,2,22.4,0.1716299992840864,2263.0,1981.9,-0.124,keep
36SYG,2025-08-17,0,23.9,0.29171855808773606,2379.5,2264.5,-0.048,keep
36SYG,2025-08-17,1,23.2,0.44450684795097484,1562.1,1468.9,-0.06,keep
36SYG,2025-08-19,0,103.3,0.4287049691230183,1641.6,1589.9,-0.032,keep
36SYG,2025-08-19,1,24.5,0.2976263019928682,2363.7,2260.9,-0.043,keep
36SYG,2025-08-20,0,20.5,0.38540042119518547,1546.9,1525.4,-0.014,keep
36SYG,2025-08-22,0,107.6,0.4278143437056917,1599.6,1600.8,0.001,keep
36SYG,2025-08-27,0,16.8,0.31700106944072354,1078.7,1485.7,0.377,eliminate
36SYG,2025-08-27,1,6.5,0.192483347116071,1503.0,2372.8,0.579,eliminate
36SYG,2025-08-27,2,19.1,0.23977557435235072,1102.5,1354.9,0.229,eliminate
36SYG,2025-08-27,3,3.7,0.22808036770831247,1159.9,2255.2,0.944,eliminate
36SYG,2025-08-27,4,3.1,0.17437930300804508,1505.8,2170.2,0.441,eliminate
36SYG,2025-08-27,5,4.3,0.18882895271228697,1483.2,2710.8,0.828,eliminate
36SYG,2025-08-27,6,4.6,0.18678640313333586,1531.5,1849.5,0.208,eliminate
36SYG,2025-08-27,7,4.0,0.18869849658287882,1614.0,2148.7,0.331,eliminate
37SBA,2025-07-28,0,50.9,0.5654818457555565,1425.6,1503.1,0.054,eliminate
37SBA,2025-08-12,0,21.8,0.17240766099221214,2273.0,1991.4,-0.124,keep
37SBB,2025-07-23,0,25.6,0.2312496740514604,2191.9,2196.6,0.002,keep
37SBB,2025-08-12,0,40.4,0.20866880688555667,3134.5,2419.7,-0.228,keep
37SBB,2025-08-12,1,57.7,0.21984468011811076,2545.7,2053.8,-0.193,keep
37SBB,2025-08-12,2,20.5,0.19498464103071939,2552.0,2115.1,-0.171,keep
37SBB,2025-08-12,3,22.4,0.2006957633851142,2538.5,2061.0,-0.188,keep
37SBB,2025-08-12,4,27.0,0.19927854342674797,2282.2,1824.6,-0.201,keep
37SBB,2025-08-12,5,33.9,0.22166373530526445,2167.3,1927.7,-0.111,keep
37SBB,2025-08-12,6,24.8,0.21249868892823653,2172.3,1716.4,-0.21,keep
37SBB,2025-08-12,7,45.1,0.18054930151682372,2264.0,1896.6,-0.162,keep
37SBB,2025-08-12,8,54.9,0.17568572043208958,2114.3,1719.1,-0.187,keep
37SBB,2025-08-12,9,1022.0,0.29873894976590903,1669.6,1419.5,-0.15,keep
37SBV,2025-08-19,0,575.8,0.5166277954242546,1534.5,1408.1,-0.082,keep
37SBV,2025-08-19,1,73.1,0.42984066519850433,1705.5,1781.2,0.044,keep
37SBV,2025-08-19,2,77.0,0.36724288539779487,1954.5,1880.9,-0.038,keep
37SBV,2025-08-19,3,47.3,0.44542303282671264,1860.4,2090.9,0.124,eliminate
37SBV,2025-08-19,4,22.3,0.2975886017165331,2024.5,1964.9,-0.029,keep
37SBV,2025-08-19,5,4666.4,0.6359637291691674,1870.7,1756.7,-0.061,keep
37SBV,2025-08-19,6,126.4,0.42123985098756134,2184.3,1876.0,-0.141,keep
37SBV,2025-08-19,7,20.5,0.4604857278828901,2797.7,2008.5,-0.282,keep
37SBV,2025-08-19,8,1514.9,0.6025837534355944,1712.7,1622.1,-0.053,keep
37SBV,2025-08-22,0,862.4,0.5594779950635564,1549.8,1374.9,-0.113,keep
37SBV,2025-08-22,1,85.0,0.46131994383316666,1697.0,1763.2,0.039,keep
37SBV,2025-08-22,2,78.4,0.39429080185626214,1958.1,1956.9,-0.001,keep
37SBV,2025-08-22,3,60.8,0.4812505104758702,1913.7,2140.2,0.118,eliminate
37SBV,2025-08-22,4,4958.3,0.6428908966626824,1877.7,1790.3,-0.047,keep
37SBV,2025-08-22,5,131.1,0.4429893239096281,2193.8,1952.7,-0.11,keep
37SBV,2025-08-22,6,20.5,0.48702596161874406,2799.5,2138.3,-0.236,keep
37SBV,2025-08-22,7,203.4,0.6429732328801826,1639.8,1557.6,-0.05,keep
37SBV,2025-08-22,8,1520.7,0.6218055236784275,1713.5,1639.5,-0.043,keep
37SBV,2025-08-27,0,23.0,0.4571971360707164,1463.3,1513.6,0.034,keep
37SBV,2025-08-27,1,34.7,0.40394028235521356,1631.0,1523.0,-0.066,keep
37SBV,2025-08-27,2,713.6,0.6138466250548757,1783.2,1774.3,-0.005,keep
37SBV,2025-08-27,3,2351.3,0.6241184982130424,1831.5,1772.4,-0.032,keep
37SBV,2025-08-27,4,118.8,0.4174885742818769,2163.2,1945.4,-0.101,keep
37SBV,2025-08-27,5,515.7,0.5818269040812344,1643.7,1540.3,-0.063,keep
37SBV,2025-08-27,6,1401.7,0.5754327237539238,1700.0,1644.3,-0.033,keep
37SBV,2025-08-29,0,591.3,0.4702607145078253,1514.2,1362.5,-0.1,keep
37SBV,2025-08-29,1,88.7,0.4356775915406426,1529.3,1491.4,-0.025,keep
37SBV,2025-08-29,2,57.4,0.3536532079611751,1613.7,1584.3,-0.018,keep
37SBV,2025-08-29,3,24.8,0.42016196453094634,1803.2,1950.1,0.081,eliminate
37SBV,2025-08-29,4,34.4,0.3356570949026832,1892.5,1996.6,0.055,eliminate
37SBV,2025-08-29,5,24.2,0.33899183281055395,1848.5,1934.0,0.046,keep
37SBV,2025-08-29,6,55.8,0.43128755202117974,1886.0,2307.2,0.223,eliminate
37SBV,2025-08-29,7,4857.9,0.5982157164624138,1849.2,1819.9,-0.016,keep
37SBV,2025-08-29,8,122.3,0.39207310178297394,2160.6,1951.2,-0.097,keep
37SBV,2025-08-29,9,20.2,0.41915855900952426,2781.1,2173.2,-0.219,keep
37SBV,2025-08-29,10,514.5,0.5740455154263803,1635.5,1539.9,-0.058,keep
37SBV,2025-08-29,11,1428.4,0.5741360648119073,1690.9,1642.3,-0.029,keep
konya,2026-09-09,0,23.5,0.4738604774028845,2146.8,2403.1,0.119,eliminate
konya,2026-09-09,1,23.2,0.541638101136309,2418.1,2707.8,0.12,eliminate
konya,2026-09-12,0,98.2,0.22868284336598574,2318.3,1811.9,-0.218,keep
konya,2026-09-12,1,26.7,0.5426540411724406,2142.4,2407.9,0.124,eliminate
konya,2026-09-12,2,22.5,0.4790193809162381,2377.9,2788.2,0.173,eliminate
mugla,2021-08-27,0,4.0,0.4066882966332789,2569.5,2327.5,-0.094,keep
mugla,2026-09-05,0,9.6,0.19045404040104671,1167.8,1047.4,-0.103,keep
mugla,2026-09-05,1,3.5,0.17803740366772655,1145.3,1135.2,-0.009,keep
